DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
04/18/2018 03:12:41 PM,10/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1630224
04/18/2018 03:12:41 PM,04/01/2014 12:00:00 AM,Arrival,International,Charter,310
04/18/2018 03:12:41 PM,12/01/2014 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2144299
04/18/2018 03:12:41 PM,01/01/2011 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1576778
04/18/2018 03:12:41 PM,07/01/2013 12:00:00 AM,Departure,International,Commuter,0
04/18/2018 03:12:41 PM,10/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1690216
10/29/2018 10:20:51 AM,08/01/2018 12:00:00 AM,Arrival,International,Scheduled Carriers,1287138
03/10/2021 06:01:08 AM,02/01/2021 12:00:00 AM,Departure,Domestic,Charter,134
04/18/2018 03:12:41 PM,12/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,166309
04/18/2018 03:12:41 PM,12/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1691926
04/18/2018 03:12:41 PM,01/01/2007 12:00:00 AM,Departure,Domestic,Charter,2909
07/11/2018 02:24:22 PM,05/01/2018 12:00:00 AM,Arrival,Domestic,Charter,149
04/18/2018 03:12:41 PM,01/01/2011 12:00:00 AM,Arrival,Domestic,Commuter,65467
04/18/2018 03:12:41 PM,08/01/2016 12:00:00 AM,Departure,International,Scheduled Carriers,1093414
04/18/2018 03:12:41 PM,04/01/2011 12:00:00 AM,Arrival,International,Scheduled Carriers,682812
04/18/2018 03:12:41 PM,04/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1277
08/03/2020 07:35:04 AM,06/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,74411
04/18/2018 03:12:41 PM,04/01/2015 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2178364
04/18/2018 03:12:41 PM,04/01/2017 12:00:00 AM,Departure,International,Scheduled Carriers,977543
04/18/2018 03:12:41 PM,01/01/2011 12:00:00 AM,Arrival,Domestic,Charter,857
04/18/2018 03:12:41 PM,02/01/2014 12:00:00 AM,Departure,International,Charter,54
